created_at,description,favourites_count,followers_count,friends_count,id,id_str,listed_count,name,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_banner_url,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,screen_name,status,statuses_count,withheld_in_countries,default_profile,geo_enabled,location,url,verified,default_profile_image,protected
Sun Apr 15 18:51:41 +0000 2012,Membre honoraire du Parlement Maire de Villeneuve Loubet(Alpes-Maritimes),241.0,26603.0,2042.0,554642415,554642415,253.0,Lionnel Luca,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,https://pbs.twimg.com/profile_banners/554642415/1354454151,http://pbs.twimg.com/profile_images/2129410245/IMG_1826_normal.JPG,https://pbs.twimg.com/profile_images/2129410245/IMG_1826_normal.JPG,009999,EEEEEE,EFEFEF,333333,True,lionnelluca06,"{'created_at': 'Sat Jun 25 14:44:51 +0000 2022', 'hashtags': [{'text': 'Mellila'}], 'id': 1540707600597016576, 'id_str': '1540707600597016576', 'lang': 'fr', 'retweet_count': 1890, 'retweeted_status': {'created_at': 'Fri Jun 24 11:30:13 +0000 2022', 'favorite_count': 2957, 'hashtags': [{'text': 'Mellila'}], 'id': 1540296229795536896, 'id_str': '1540296229795536896', 'lang': 'fr', 'retweet_count': 1890, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'text': 'Scènes effrayantes à #Mellila ou des centaines de migrants ont affronté les forces espagnoles pour passer la fronti… https://t.co/Iaf6UI0unw', 'truncated': True, 'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1540296229795536896', 'url': 'https://t.co/Iaf6UI0unw'}], 'user_mentions': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'text': 'RT @jerome_riviere: Scènes effrayantes à #Mellila ou des centaines de migrants ont affronté les forces espagnoles pour passer la frontière.…', 'urls': [], 'user_mentions': [{'id': 202102772, 'id_str': '202102772', 'name': 'Jerome Riviere', 'screen_name': 'jerome_riviere'}]}",24059.0,[],,,,,,,
Wed Nov 16 09:07:11 +0000 2011,,129.0,7017.0,566.0,413819531,413819531,175.0,François Pupponi,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,https://pbs.twimg.com/profile_banners/413819531/1566378291,http://pbs.twimg.com/profile_images/2328688253/srfv7wzv8pct4z7wwxdx_normal.jpeg,https://pbs.twimg.com/profile_images/2328688253/srfv7wzv8pct4z7wwxdx_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,fpupponi,"{'created_at': 'Mon Jun 20 20:02:34 +0000 2022', 'favorite_count': 39, 'hashtags': [], 'id': 1538975615633739777, 'id_str': '1538975615633739777', 'in_reply_to_screen_name': 'fpupponi', 'in_reply_to_status_id': 1538975614069264384, 'in_reply_to_user_id': 413819531, 'lang': 'fr', 'retweet_count': 6, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'text': 'J’ai juste une petite inquiétude pour toutes ces communautés et minorités, j’espère qu’elles pourront continuer à v… https://t.co/S8Bbo8TcPn', 'truncated': True, 'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1538975615633739777', 'url': 'https://t.co/S8Bbo8TcPn'}], 'user_mentions': []}",2894.0,[],True,True,Sarcelles,https://t.co/ywp2e4jVZ3,True,,
Wed Feb 03 09:24:05 +0000 2010,"Député du Puy de Dôme, circonscription d'Issoire
Maire de Coudes",,377.0,,110950142,110950142,83.0,Jean-Paul Bacquet,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,jpbacquet,,,[],True,,France,http://t.co/vDvaTUJMyk,,True,
Wed May 16 08:06:04 +0000 2012,"Député des Deux-Sèvres.

Avant cela j'ai été Maire de Cerizay, Vice-président de Région chargé de l'économie, gérant d'entreprise et responsable en CAVAC",,613.0,24.0,581634493,581634493,61.0,Jean Grellier,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,,http://pbs.twimg.com/profile_images/2222853578/Jean_AN_normal.jpg,https://pbs.twimg.com/profile_images/2222853578/Jean_AN_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,Jean_Grellier,"{'created_at': 'Sun Jun 17 18:09:17 +0000 2012', 'hashtags': [{'text': 'circo7903'}], 'id': 214419458096242689, 'id_str': '214419458096242689', 'lang': 'fr', 'retweet_count': 3, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'text': '58% ! Merci ! #circo7903', 'urls': [], 'user_mentions': []}",33.0,[],True,,,http://t.co/UcbNsWFsAv,,,
Fri Feb 17 09:58:12 +0000 2012,"➡ Maire de Cambrai
➡ Président de la Communauté d'Agglomération
↪ Vice-Président/conseiller général du Nord (1982-2002)
↪ Député du Nord (2002-2017)",,445.0,14.0,494847902,494847902,61.0,François-Xavier VILLAIN,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,https://pbs.twimg.com/profile_banners/494847902/1614679143,http://pbs.twimg.com/profile_images/1267753130776825856/vo7FDT-I_normal.jpg,https://pbs.twimg.com/profile_images/1267753130776825856/vo7FDT-I_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,fxvillain,"{'created_at': 'Fri Jan 31 20:13:43 +0000 2020', 'favorite_count': 4, 'hashtags': [], 'id': 1223338592380030976, 'id_str': '1223338592380030976', 'in_reply_to_screen_name': 'fxvillain', 'in_reply_to_status_id': 1223338590324887552, 'in_reply_to_user_id': 494847902, 'lang': 'fr', 'retweet_count': 1, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'text': '3/3 La majorité actuelle pour l’instant s’y oppose.\nIl faut soutenir Guy et réussir à convaincre cette majorité qu’… https://t.co/VbHLLilX91', 'truncated': True, 'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1223338592380030976', 'url': 'https://t.co/VbHLLilX91'}], 'user_mentions': []}",3.0,[],True,,Cambrai,,,,
Tue Oct 27 09:05:46 +0000 2009,"Maire @VilledeReims VP @GrandReims VP de l’attractivité, du tourisme et de la culture de la @regiongrandest. Président de l’association @reims2028",13567.0,41756.0,691.0,85531043,85531043,394.0,Arnaud Robinet,01245C,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,,https://pbs.twimg.com/profile_banners/85531043/1653580983,http://pbs.twimg.com/profile_images/1529854846496649216/AJ5r0PGk_normal.jpg,https://pbs.twimg.com/profile_images/1529854846496649216/AJ5r0PGk_normal.jpg,BC2346,FFFFFF,457FB6,01245C,True,ArnaudRobinet,"{'created_at': 'Fri Jun 24 15:27:52 +0000 2022', 'hashtags': [{'text': 'Reims'}, {'text': 'weekend'}, {'text': 'sélection'}, {'text': 'sorties'}, {'text': 'événements'}], 'id': 1540356037336858625, 'id_str': '1540356037336858625', 'lang': 'fr', 'retweet_count': 3, 'retweeted_status': {'created_at': 'Fri Jun 24 14:59:45 +0000 2022', 'favorite_count': 8, 'hashtags': [{'text': 'Reims'}, {'text': 'weekend'}, {'text': 'sélection'}, {'text': 'sorties'}, {'text': 'événements'}], 'id': 1540348963378937859, 'id_str': '1540348963378937859', 'lang': 'fr', 'retweet_count': 3, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'text': 'Que faire à #Reims ce #weekend ? Retrouvez une #sélection des #sorties et #événements prévus ce week-end :… https://t.co/BHCV9JJvQY', 'truncated': True, 'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1540348963378937859', 'url': 'https://t.co/BHCV9JJvQY'}], 'user_mentions': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'text': 'RT @VilledeReims: Que faire à #Reims ce #weekend ? Retrouvez une #sélection des #sorties et #événements prévus ce week-end : https://t.co/i…', 'urls': [], 'user_mentions': [{'id': 2248582387, 'id_str': '2248582387', 'name': 'Ville de Reims', 'screen_name': 'VilledeReims'}]}",13368.0,[],,True,Reims,,True,,
Wed Sep 23 07:21:37 +0000 2009,"Ministre des Solidarités, de l’Autonomie et des Personnes handicapées.",5448.0,35219.0,7264.0,76584619,76584619,674.0,Damien Abad,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,https://pbs.twimg.com/profile_banners/76584619/1484037720,http://pbs.twimg.com/profile_images/1526119000979169285/5TB6zmy8_normal.jpg,https://pbs.twimg.com/profile_images/1526119000979169285/5TB6zmy8_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,damienabad,"{'created_at': 'Fri Jun 24 22:27:22 +0000 2022', 'favorite_count': 111, 'hashtags': [], 'id': 1540461609671434240, 'id_str': '1540461609671434240', 'lang': 'fr', 'retweet_count': 14, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'text': 'La décision de la Cour Suprême des Etats-Unis sur l’IVG est une régression sans précédent. \nL’IVG est un droit fond… https://t.co/93nRKw3Mh0', 'truncated': True, 'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1540461609671434240', 'url': 'https://t.co/93nRKw3Mh0'}], 'user_mentions': []}",7193.0,[],,True,,,True,,
Fri Dec 09 10:05:14 +0000 2011,,221.0,4213.0,1166.0,432375298,432375298,135.0,mfclergeau,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,,https://pbs.twimg.com/profile_banners/432375298/1595610430,http://pbs.twimg.com/profile_images/1286709516059410432/8Cw6RRjX_normal.jpg,https://pbs.twimg.com/profile_images/1286709516059410432/8Cw6RRjX_normal.jpg,038543,EEEEEE,F6F6F6,333333,True,ClergeauMf,"{'created_at': 'Tue Mar 01 08:44:50 +0000 2022', 'hashtags': [], 'id': 1498580008306192384, 'id_str': '1498580008306192384', 'lang': 'fr', 'retweet_count': 16, 'retweeted_status': {'created_at': 'Tue Mar 01 08:39:07 +0000 2022', 'favorite_count': 24, 'hashtags': [], 'id': 1498578566656761858, 'id_str': '1498578566656761858', 'lang': 'fr', 'retweet_count': 16, 'source': '<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>', 'text': 'Selon un sondage @mutualite_fr @harrisint_fr publié ce jour dans @LesEchos, les Français attendent des candidat.e.s… https://t.co/l1EvN6idPd', 'truncated': True, 'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1498578566656761858', 'url': 'https://t.co/l1EvN6idPd'}], 'user_mentions': [{'id': 255999421, 'id_str': '255999421', 'name': 'Mutualité Française', 'screen_name': 'mutualite_fr'}, {'id': 349111533, 'id_str': '349111533', 'name': 'Harris Interactive', 'screen_name': 'harrisint_fr'}, {'id': 92564226, 'id_str': '92564226', 'name': 'Les Echos', 'screen_name': 'LesEchos'}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'text': 'RT @junique_s: Selon un sondage @mutualite_fr @harrisint_fr publié ce jour dans @LesEchos, les Français attendent des candidat.e.s à la #Pr…', 'urls': [], 'user_mentions': [{'id': 2784328869, 'id_str': '2784328869', 'name': 'Stéphane Junique', 'screen_name': 'junique_s'}, {'id': 255999421, 'id_str': '255999421', 'name': 'Mutualité Française', 'screen_name': 'mutualite_fr'}, {'id': 349111533, 'id_str': '349111533', 'name': 'Harris Interactive', 'screen_name': 'harrisint_fr'}, {'id': 92564226, 'id_str': '92564226', 'name': 'Les Echos', 'screen_name': 'LesEchos'}]}",3239.0,[],,,,,,,
Tue May 01 10:55:38 +0000 2012,"Maire Adjoint de Paris (#Education, #PetiteEnfance, #Familles, #NouveauxApprentissages, #ConseildeParis) Conseiller du 11e (#Urbanisme)         Député honoraire",29208.0,13865.0,806.0,568099321,568099321,309.0,Patrick BLOCHE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,,https://pbs.twimg.com/profile_banners/568099321/1649694700,http://pbs.twimg.com/profile_images/1263487265201930241/fZoBB98E_normal.jpg,https://pbs.twimg.com/profile_images/1263487265201930241/fZoBB98E_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,pbloche,"{'created_at': 'Fri Jun 24 20:05:37 +0000 2022', 'hashtags': [], 'id': 1540425935954001921, 'id_str': '1540425935954001921', 'lang': 'fr', 'retweet_count': 114, 'retweeted_status': {'created_at': 'Fri Jun 24 19:22:07 +0000 2022', 'favorite_count': 553, 'hashtags': [], 'id': 1540414986887041025, 'id_str': '1540414986887041025', 'lang': 'fr', 'retweet_count': 114, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'text': 'Cette décision est dramatique pour les femmes. Voilà ce qui arrive lorsque les pires conservatismes gangrènent les… https://t.co/BYh8lsIT5W', 'truncated': True, 'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1540414986887041025', 'url': 'https://t.co/BYh8lsIT5W'}], 'user_mentions': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'text': 'RT @Anne_Hidalgo: Cette décision est dramatique pour les femmes. Voilà ce qui arrive lorsque les pires conservatismes gangrènent les esprit…', 'urls': [], 'user_mentions': [{'id': 26073581, 'id_str': '26073581', 'name': 'Anne Hidalgo', 'screen_name': 'Anne_Hidalgo'}]}",14920.0,[],True,True,Paris,https://t.co/54v3cvB6K8,,,
Tue Oct 20 06:39:13 +0000 2009,"Maire de @VilledeNice, La France Audacieuse - Président de la @MetropoleNCA - Président délégué de @MaRegionSud - @La_F_Audacieuse",5483.0,194203.0,1655.0,83784709,83784709,1709.0,Christian Estrosi,FFFFFF,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,https://pbs.twimg.com/profile_banners/83784709/1630491380,http://pbs.twimg.com/profile_images/844922661482434560/LmqatSLX_normal.jpg,https://pbs.twimg.com/profile_images/844922661482434560/LmqatSLX_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,cestrosi,"{'created_at': 'Sat Jun 25 15:02:37 +0000 2022', 'hashtags': [], 'id': 1540712072958181378, 'id_str': '1540712072958181378', 'lang': 'fr', 'retweet_count': 5, 'retweeted_status': {'created_at': 'Sat Jun 25 14:05:03 +0000 2022', 'favorite_count': 20, 'hashtags': [], 'id': 1540697585438130176, 'id_str': '1540697585438130176', 'lang': 'fr', 'place': {'attributes': {}, 'bounding_box': {'coordinates': [[[7.1820901, 43.6452915], [7.3239546, 43.6452915], [7.3239546, 43.76075], [7.1820901, 43.76075]]], 'type': 'Polygon'}, 'contained_within': [], 'country': 'France', 'country_code': 'FR', 'full_name': 'Nice, France', 'id': '23f8a07383ac617e', 'name': 'Nice', 'place_type': 'city', 'url': 'https://api.twitter.com/1.1/geo/id/23f8a07383ac617e.json'}, 'retweet_count': 5, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'text': 'Bref résumé du sujet:\n\nDes fakes News,\nDes milliers de sms,\nDes tonnes de mails,\nDes centaines d’actions de porte à… https://t.co/nnEc9qGAsM', 'truncated': True, 'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1540697585438130176', 'url': 'https://t.co/nnEc9qGAsM'}], 'user_mentions': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'text': 'RT @MonettiGraig: Bref résumé du sujet:\n\nDes fakes News,\nDes milliers de sms,\nDes tonnes de mails,\nDes centaines d’actions de porte à porte…', 'urls': [], 'user_mentions': [{'id': 2282450016, 'id_str': '2282450016', 'name': 'Graig Monetti', 'screen_name': 'MonettiGraig'}]}",34377.0,[],,True,"Nice, France",,True,,
