id,label,count
#montsaintaignan,#montsaintaignan,1
#circo7601,#circo7601,3
#custruimu,#custruimu,8
#vérité,#vérité,3
#maîtrisedestransports,#maîtrisedestransports,1
#rouen,#rouen,13
#circo2502,#circo2502,1
#déville,#déville,1
#fetedesmeres,#fetedesmeres,22
#generaldegaulle,#generaldegaulle,3
#colombeylesdeuxeglises,#colombeylesdeuxeglises,2
#circo3808,#circo3808,5
#larepubliqueenmarche,#larepubliqueenmarche,1374
#peacorsica,#peacorsica,6
#rtl,#rtl,74
#enbonnesvoix,#enbonnesvoix,1
#transition,#transition,19
#chaumont,#chaumont,5
#legislatives2017,#legislatives2017,2212
#hautemarne1,#hautemarne1,1
#acquavivatomasi2017,#acquavivatomasi2017,1
#manchester,#manchester,205
#hautemarne,#hautemarne,5
#metstongraindesel,#metstongraindesel,1
#acquavivatomasi,#acquavivatomasi,1
#coffee,#coffee,1
#ndmrouen,#ndmrouen,1
#alimentation,#alimentation,20
#législatives,#législatives,192
#gouvernement,#gouvernement,51
#ecologie,#ecologie,60
#solidarite,#solidarite,19
#la2017,#la2017,2
#unirpourlaguyaneengrand,#unirpourlaguyaneengrand,1
#premierministre,#premierministre,36
#brigitte,#brigitte,1
#girlpower,#girlpower,7
#naturalwoman,#naturalwoman,1
#guymargua17,#guymargua17,1
#larépubliqueenmarche,#larépubliqueenmarche,422
#legislatives,#legislatives,138
#cervione,#cervione,1
#peracorsica,#peracorsica,1
#republiqueenmarche,#republiqueenmarche,64
#ripressionebasta,#ripressionebasta,1
#suluzionepulitica,#suluzionepulitica,2
#amnistia,#amnistia,1
#pace,#pace,2
#nouveaurelax,#nouveaurelax,1
#9maghju1769,#9maghju1769,1
#presidentmacron,#presidentmacron,11
#avoté,#avoté,12
#obama,#obama,6
#france,#france,173
#macron2017,#macron2017,603
#débat2017,#débat2017,5
#2017ledebat,#2017ledebat,225
#jevotemacron,#jevotemacron,765
#lci,#lci,95
#marinelepen2017,#marinelepen2017,1
#françafrique,#françafrique,1
#macron,#macron,1672
#borloo,#borloo,2
#bfmtv,#bfmtv,266
#mlpnda,#mlpnda,5
#nouvelleere,#nouvelleere,1
#avanzemu,#avanzemu,13
#jevote,#jevote,33
#cnews,#cnews,45
#macronarras,#macronarras,6
#whirlpool,#whirlpool,181
#emmanuelmacron,#emmanuelmacron,459
#presidentielle2017,#presidentielle2017,766
#citoyens,#citoyens,9
#elus,#elus,2
#occitanie,#occitanie,12
#arras,#arras,11
#hautesavoie,#hautesavoie,16
#mobilisation,#mobilisation,33
#avecfillon,#avecfillon,13
#transparence,#transparence,41
#niolu,#niolu,2
#corsica,#corsica,15
#macronbercy,#macronbercy,84
#macronprésident,#macronprésident,102
#perpignan,#perpignan,12
#fillonlyon,#fillonlyon,13
#fillon2017,#fillon2017,631
#gect,#gect,2
#emancipazione,#emancipazione,3
#engagement,#engagement,22
#empowerment,#empowerment,3
#joie,#joie,3
#émancipazione,#émancipazione,1
#fillonparis,#fillonparis,68
#enmarche,#enmarche,2330
#marleneschiappa,#marleneschiappa,2
#ajacciomlp,#ajacciomlp,31
#gestionsaine,#gestionsaine,2
#barbaragate,#barbaragate,1
#festival,#festival,1
#musique,#musique,9
#maillotsdebain,#maillotsdebain,1
#legranddebat,#legranddebat,681
#cuuperazione,#cuuperazione,2
#yvetot,#yvetot,1
#macronmarseille,#macronmarseille,46
#bge,#bge,1
#fillonprésident,#fillonprésident,28
#hontederien,#hontederien,3
#rouenrivedroite,#rouenrivedroite,1
#lcimatin,#lcimatin,29
#guyane,#guyane,103
#procuration,#procuration,6
#fulelli,#fulelli,1
#bastelica,#bastelica,1
#hamon,#hamon,203
#sport,#sport,44
#hollande,#hollande,224
#fillon,#fillon,621
#olmicappela,#olmicappela,1
#numérique,#numérique,28
#lemissionpolitique,#lemissionpolitique,587
#jevotefillon,#jevotefillon,120
#moinsmieux,#moinsmieux,2
#comon2017,#comon2017,1
#jdd,#jdd,3
#debattf1,#debattf1,135
#fillonpresident,#fillonpresident,197
#legranddébat,#legranddébat,445
#jt20h,#jt20h,94
#autableau,#autableau,32
#bastia,#bastia,6
#festa,#festa,1
#tradizione,#tradizione,1
#cultura,#cultura,3
#fervore,#fervore,1
#ps,#ps,147
#spd,#spd,3
#nonau19mars,#nonau19mars,2
#chatel,#chatel,3
#pompiers,#pompiers,9
#bourdindirect,#bourdindirect,540
#projetfillon,#projetfillon,61
#gonaives,#gonaives,1
#le20h,#le20h,50
#20h,#20h,23
#tf1lejt,#tf1lejt,12
#integrité,#integrité,1
#auropa,#auropa,3
#gozo,#gozo,1
#malta,#malta,1
#maretarraniu,#maretarraniu,1
#bastacusì,#bastacusì,1
#unlilacheremufà,#unlilacheremufà,1
#environnement,#environnement,58
#agriculture,#agriculture,116
#enr,#enr,42
#pme,#pme,18
#maniftrocadero,#maniftrocadero,1
#stopcorruption,#stopcorruption,5
#etatdedroit,#etatdedroit,2
#trocadero,#trocadero,25
#fillontrocadero,#fillontrocadero,20
#planb,#planb,34
#20000donateurs,#20000donateurs,1
#rtlmatin,#rtlmatin,203
#programmeem,#programmeem,395
#egalite,#egalite,12
#taubirademission,#taubirademission,1
#kiosque,#kiosque,17
#sima2017,#sima2017,4
#bure,#bure,1
#som2017,#som2017,2
#tristesse,#tristesse,1
#compol,#compol,3
#affaires,#affaires,2
#lepen,#lepen,220
#marcdufumier,#marcdufumier,1
#marine2017,#marine2017,249
#cpac2017,#cpac2017,5
#causamaiò,#causamaiò,1
#vittoria,#vittoria,2
#economie,#economie,15
#investissement,#investissement,2
#cpac,#cpac,1
#bannon,#bannon,1
#rassemblement,#rassemblement,37
#energies,#energies,1
#washington,#washington,2
#bayrou,#bayrou,94
#progressisme,#progressisme,5
#teammacron,#teammacron,227
#sviluppu,#sviluppu,2
#directan,#directan,352
#lcp,#lcp,21
#mediterraniu,#mediterraniu,1
#tamantastrada,#tamantastrada,1
#devoirdevigilance,#devoirdevigilance,22
#justice,#justice,22
#marinelepen,#marinelepen,19
#collectiviteunique,#collectiviteunique,1
#forza,#forza,1
#lozzipleinderessources,#lozzipleinderessources,7
#populisme,#populisme,1
#otcentru,#otcentru,1
#ridicule,#ridicule,5
#4emeflop,#4emeflop,1
#3emeflop,#3emeflop,1
#2emeflop,#2emeflop,1
#conversion,#conversion,1
#circuitscourts,#circuitscourts,8
#legrandrdv,#legrandrdv,78
#schengen,#schengen,9
#trump,#trump,88
#majoritépénale,#majoritépénale,3
#evisa,#evisa,1
#comitedemassifcorse,#comitedemassifcorse,3
#sulidariidiescoledimuntagna,#sulidariidiescoledimuntagna,1
#vicu,#vicu,1
#programme,#programme,15
#macronalger,#macronalger,1
#copaauropeana,#copaauropeana,1
#aripressionebasta,#aripressionebasta,1
#psgfcb,#psgfcb,4
#ethique,#ethique,13
#politique,#politique,45
#francoisfillon,#francoisfillon,18
#deficitbudgetaire,#deficitbudgetaire,1
#qag,#qag,127
#jpo,#jpo,1
#hivernales,#hivernales,1
#verghju,#verghju,1
#montagne,#montagne,2
#comitedemassif,#comitedemassif,1
#lesaviezvous,#lesaviezvous,1
#pourallerplushaut,#pourallerplushaut,1
#argentpublic,#argentpublic,1
#neosarko,#neosarko,1
#pievoleuse,#pievoleuse,1
#bonifaziu,#bonifaziu,1
#sulidarità,#sulidarità,5
#suivre,#suivre,1
#follow,#follow,1
#unfollow,#unfollow,1
#enjoy,#enjoy,1
#respire,#respire,1
#penelopefillon,#penelopefillon,8
#envoyespecialgate,#envoyespecialgate,1
#confpressefillon,#confpressefillon,12
#factchecking,#factchecking,5
#google,#google,1
#facebook,#facebook,23
#inmemoria,#inmemoria,1
#melenchon,#melenchon,175
#erichalphen,#erichalphen,1
#envoyespecial,#envoyespecial,28
#penelopegate,#penelopegate,61
#stopchasseàlhomme,#stopchasseàlhomme,4
#qg,#qg,8
#bfc,#bfc,3
#quebecmosqueattack,#quebecmosqueattack,2
#primaire,#primaire,28
#primairegauche,#primairegauche,127
#maestria,#maestria,1
#economieverte,#economieverte,1
#fillonlavillette,#fillonlavillette,162
#fillonlavilette,#fillonlavilette,1
#signe,#signe,1
#affiche,#affiche,2
#opposition,#opposition,1
#graphisme,#graphisme,1
#emancipation,#emancipation,1
#jtfillon,#jtfillon,30
#confiance,#confiance,11
#fessenheim,#fessenheim,27
#primairedelatriche,#primairedelatriche,9
#primairesgauche,#primairesgauche,53
#mediterraneo,#mediterraneo,1
#fillonoyonnax,#fillonoyonnax,7
#ain,#ain,14
#oyonnax,#oyonnax,3
#patrickwatson,#patrickwatson,1
#satie,#satie,1
#giflegate,#giflegate,1
#primaireledebat,#primaireledebat,332
#omaggiu,#omaggiu,1
#méditerranée,#méditerranée,1
#europe,#europe,202
#dhenry,#dhenry,1
#fn,#fn,136
#les4verites,#les4verites,18
#afp,#afp,3
#saitpascommentfairepouressayerdesalir,#saitpascommentfairepouressayerdesalir,1
#forcesvives,#forcesvives,1
#lozzi,#lozzi,1
#avvene,#avvene,1
#muntagnaviva,#muntagnaviva,1
#crèche,#crèche,3
#ces,#ces,1
#demucrazia,#demucrazia,1
#michelleclerc,#michelleclerc,1
#lenomdesgens,#lenomdesgens,1
#gramsci,#gramsci,1
#circo5706,#circo5706,23
#lrem,#lrem,1425
#1jour1soutien,#1jour1soutien,2
#vanves,#vanves,11
#circo9210,#circo9210,28
#devinette,#devinette,1
#circo4404,#circo4404,19
#bouguenais,#bouguenais,3
#bouaye,#bouaye,7
#saintsébastiensurloire,#saintsébastiensurloire,4
#rezé,#rezé,8
#nantes,#nantes,122
#brains,#brains,1
#pr,#pr,12
#chantiersatlantique,#chantiersatlantique,1
#saintnazaire,#saintnazaire,25
#meraviglia,#meraviglia,4
#loireatlantique,#loireatlantique,26
#législatives2017,#législatives2017,443
#arend2017,#arend2017,5
#circoext04,#circoext04,6
#renouvellement,#renouvellement,72
#éducation,#éducation,45
#solidarité,#solidarité,51
