id,label,count,start,end
#montsaintaignan,#montsaintaignan,1,2017-05-31,2017-05-31
#circo7601,#circo7601,3,2017-05-27,2017-05-31
#custruimu,#custruimu,8,2017-01-07,2017-05-31
#vérité,#vérité,3,2017-01-21,2017-05-31
#maîtrisedestransports,#maîtrisedestransports,1,2017-05-31,2017-05-31
#rouen,#rouen,13,2017-02-20,2017-05-30
#circo2502,#circo2502,1,2017-05-30,2017-05-30
#déville,#déville,1,2017-05-30,2017-05-30
#fetedesmeres,#fetedesmeres,22,2017-05-27,2017-05-29
#generaldegaulle,#generaldegaulle,3,2017-05-27,2017-05-27
#colombeylesdeuxeglises,#colombeylesdeuxeglises,2,2017-05-27,2017-05-27
#circo3808,#circo3808,5,2017-05-18,2017-05-27
#larepubliqueenmarche,#larepubliqueenmarche,1374,2017-05-08,2017-05-31
#peacorsica,#peacorsica,6,2017-05-19,2017-05-26
#rtl,#rtl,74,2017-01-04,2017-05-26
#enbonnesvoix,#enbonnesvoix,1,2017-05-26,2017-05-26
#transition,#transition,19,2017-01-12,2017-05-29
#chaumont,#chaumont,5,2017-01-09,2017-05-25
#legislatives2017,#legislatives2017,2212,2017-01-11,2017-05-31
#hautemarne1,#hautemarne1,1,2017-05-25,2017-05-25
#acquavivatomasi2017,#acquavivatomasi2017,1,2017-05-23,2017-05-23
#manchester,#manchester,205,2017-05-23,2017-05-28
#hautemarne,#hautemarne,5,2017-01-28,2017-05-21
#metstongraindesel,#metstongraindesel,1,2017-05-21,2017-05-21
#acquavivatomasi,#acquavivatomasi,1,2017-05-21,2017-05-21
#coffee,#coffee,1,2017-05-21,2017-05-21
#ndmrouen,#ndmrouen,1,2017-05-20,2017-05-20
#alimentation,#alimentation,20,2017-01-17,2017-05-29
#législatives,#législatives,192,2017-01-09,2017-05-31
#gouvernement,#gouvernement,51,2017-01-25,2017-05-29
#ecologie,#ecologie,60,2017-01-11,2017-05-31
#solidarite,#solidarite,19,2017-01-02,2017-05-31
#la2017,#la2017,2,2017-05-15,2017-05-17
#unirpourlaguyaneengrand,#unirpourlaguyaneengrand,1,2017-05-17,2017-05-17
#premierministre,#premierministre,36,2017-05-10,2017-05-21
#brigitte,#brigitte,1,2017-05-14,2017-05-14
#girlpower,#girlpower,7,2017-01-04,2017-05-14
#naturalwoman,#naturalwoman,1,2017-05-14,2017-05-14
#guymargua17,#guymargua17,1,2017-05-14,2017-05-14
#larépubliqueenmarche,#larépubliqueenmarche,422,2017-05-08,2017-05-31
#legislatives,#legislatives,138,2017-01-11,2017-05-31
#cervione,#cervione,1,2017-05-12,2017-05-12
#peracorsica,#peracorsica,1,2017-05-12,2017-05-12
#republiqueenmarche,#republiqueenmarche,64,2017-05-11,2017-05-31
#ripressionebasta,#ripressionebasta,1,2017-05-10,2017-05-10
#suluzionepulitica,#suluzionepulitica,2,2017-04-05,2017-05-10
#amnistia,#amnistia,1,2017-05-10,2017-05-10
#pace,#pace,2,2017-04-05,2017-05-10
#nouveaurelax,#nouveaurelax,1,2017-05-09,2017-05-09
#9maghju1769,#9maghju1769,1,2017-05-08,2017-05-08
#presidentmacron,#presidentmacron,11,2017-05-08,2017-05-31
#avoté,#avoté,12,2017-01-29,2017-05-07
#obama,#obama,6,2017-01-08,2017-05-04
#france,#france,173,2017-01-01,2017-05-31
#macron2017,#macron2017,603,2017-01-02,2017-05-21
#débat2017,#débat2017,5,2017-05-03,2017-05-04
#2017ledebat,#2017ledebat,225,2017-05-03,2017-05-04
#jevotemacron,#jevotemacron,765,2017-02-26,2017-05-31
#lci,#lci,95,2017-01-10,2017-05-20
#marinelepen2017,#marinelepen2017,1,2017-05-02,2017-05-02
#françafrique,#françafrique,1,2017-04-30,2017-04-30
#macron,#macron,1672,2017-01-01,2017-05-31
#borloo,#borloo,2,2017-04-30,2017-04-30
#bfmtv,#bfmtv,266,2017-01-09,2017-05-31
#mlpnda,#mlpnda,5,2017-04-29,2017-04-29
#nouvelleere,#nouvelleere,1,2017-04-28,2017-04-28
#avanzemu,#avanzemu,13,2017-01-26,2017-04-28
#jevote,#jevote,33,2017-04-03,2017-05-31
#cnews,#cnews,45,2017-03-02,2017-05-23
#macronarras,#macronarras,6,2017-04-26,2017-04-27
#whirlpool,#whirlpool,181,2017-01-24,2017-05-17
#emmanuelmacron,#emmanuelmacron,459,2017-01-07,2017-05-31
#presidentielle2017,#presidentielle2017,766,2017-01-02,2017-05-18
#citoyens,#citoyens,9,2017-01-18,2017-05-30
#elus,#elus,2,2017-03-29,2017-04-21
#occitanie,#occitanie,12,2017-02-02,2017-05-13
#arras,#arras,11,2017-01-19,2017-04-26
#hautesavoie,#hautesavoie,16,2017-02-20,2017-05-30
#mobilisation,#mobilisation,33,2017-01-14,2017-05-21
#avecfillon,#avecfillon,13,2017-01-02,2017-04-20
#transparence,#transparence,41,2017-01-12,2017-05-30
#niolu,#niolu,2,2017-02-11,2017-04-17
#corsica,#corsica,15,2017-01-26,2017-04-17
#macronbercy,#macronbercy,84,2017-04-11,2017-04-19
#macronprésident,#macronprésident,102,2017-01-29,2017-05-15
#perpignan,#perpignan,12,2017-01-07,2017-04-15
#fillonlyon,#fillonlyon,13,2017-04-12,2017-04-12
#fillon2017,#fillon2017,631,2017-01-01,2017-04-21
#gect,#gect,2,2017-04-10,2017-04-10
#emancipazione,#emancipazione,3,2017-03-09,2017-04-10
#engagement,#engagement,22,2017-01-02,2017-05-24
#empowerment,#empowerment,3,2017-02-23,2017-05-31
#joie,#joie,3,2017-02-23,2017-05-20
#émancipazione,#émancipazione,1,2017-04-10,2017-04-10
#fillonparis,#fillonparis,68,2017-01-28,2017-04-09
#enmarche,#enmarche,2330,2017-01-01,2017-05-31
